url,brand,model,price,image,mileage,fuel_type,gearbox,year
https://www.otomoto.pl/osobowe/oferta/audi-a6-allroad-audi-a6-allroad-ID6Gqy4i.html,Audi,Audi A6 Allroad 2.7 TDI Quattro Tiptr,33 999,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjdqZnI1YmY1MDlydzItT1RPTU9UT1BMIn0.I6LwQQpxHnT6C_cuq24ptlpjaoMi354Nlc1oNAlXmhs/image;s=320x240,375 000 km,Diesel,Automatyczna,2009
https://www.otomoto.pl/osobowe/oferta/audi-tt-audi-tt-8j-s-line-2-0fsi-turbo-bwa-ID6GuFEp.html,Audi,Audi TT 2.0 TFSI,29 000,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InV2Y2d4YXpkNDZ5ODItT1RPTU9UT1BMIn0.4EgWnVkoSx0jOBMzCTaaPP6g1R7o6d31r3sCBqY9y6A/image;s=320x240,350 000 km,Benzyna,Manualna,2009
https://www.otomoto.pl/osobowe/oferta/audi-a3-ID6G0vk1.html,Audi,Audi A3 1.8 TFSI Quattro Ambition S tronic,67 000,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InI3ZTRneDI5cnh3di1PVE9NT1RPUEwifQ.eDyxjg0kZ7oTL3LJD9JQ-3uxOa-OSicsnR7nojDEgm8/image;s=320x240,90 000 km,Benzyna,Automatyczna,2016
https://www.otomoto.pl/osobowe/oferta/audi-a3-2008r-lift-1-4-fsi-android-ksenon-rotory-ID6Gv0pj.html,Audi,Audi A3 1.4T FSI Attraction,17 000,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InZmNDVvNnprbjg1eTEtT1RPTU9UT1BMIn0.UMXlCDYd5Rizncoc7DH1leySpDHuUIkmYYOYoGeYSBU/image;s=320x240,220 000 km,Benzyna,Manualna,2006
https://www.otomoto.pl/osobowe/oferta/audi-a3-1-6-mpi-102-km-tempomat-climatronic-oplacony-pisemna-gwarancja-ID6Gx6bF.html,Audi,Audi A3,12 900,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjhhdmxrOHR3bnJkYi1PVE9NT1RPUEwifQ.1rz3wjyAW-102Y2HdRyZ-iwDph-j3AaWl-D5Tk6lGZw/image;s=320x240,240 000 km,Benzyna,Manualna,2004
https://www.otomoto.pl/osobowe/oferta/audi-q7-nowy-model-audi-q7-3-0tdi-2x-s-line-7-foteli-black-pakiet-head-up-ID6GATAB.html,Audi,Audi Q7,418 000,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InAxaWV3emx5eG10djItT1RPTU9UT1BMIn0.VovEpZoi9Zuq_hE0eGOQoIaZmamXKVsFzR3SY81POgU/image;s=320x240,18 km,Diesel,Automatyczna,2024
https://www.otomoto.pl/osobowe/oferta/audi-s8-audi-s8-wysoka-konfig-ceramika-salon-pl-ogl-prywatne-zamiana-suv-ID6FWiwI.html,Audi,Audi S8 4.0 TFSI Quattro,179 000,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImVuNzkxamI1NGN2dDItT1RPTU9UT1BMIn0.xD0DtOXkajoVGR99e2CnijGziCIVLBsT4byyw42lnu4/image;s=320x240,194 000 km,Benzyna,Automatyczna,2014
https://www.otomoto.pl/osobowe/oferta/audi-s4-audi-s4-3-0-tfsi-quattro-s-tronic-ID6Gpc7x.html,Audi,Audi S4 3.0 TFSI Quattro S tronic,95 000,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InNiY29vNHdwaHgyZzMtT1RPTU9UT1BMIn0.S4ewFtSJBBe6-fxc4K8Z6Hn_MSzYvbOXi3VeHdOYuYo/image;s=320x240,104 000 km,Benzyna,Automatyczna,2013
https://www.otomoto.pl/osobowe/oferta/audi-q7-audi-q7-pierwszy-wlasciciel-bezwypadkowy-faktura-vat-23-ID6GiaFl.html,Audi,Audi Q7 50 TDI Quattro Tiptronic,147 600,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inc3M3NyanB3aGFtajItT1RPTU9UT1BMIn0.95uEKKhBAXP3DI6CV_5h8P1If8aeu4jukAoLoEPm0P0/image;s=320x240,192 000 km,Diesel,Automatyczna,2018
https://www.otomoto.pl/osobowe/oferta/audi-a6-audi-a6-b7-3-0-tdi-quatro-s-tronic-limousine-ID6GATpO.html,Audi,Audi A6 3.0 TDI Quattro S tronic,89 000,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InpsY3V2bXpkaGQxYy1PVE9NT1RPUEwifQ.F8MDcIp6M9QA93UD1JGYTmXOqSyO7cf0XKuIPX5ktc8/image;s=320x240,279 500 km,Diesel,Automatyczna,2016
https://www.otomoto.pl/osobowe/oferta/audi-q8-pakiet-comfort-design-innovation-ID6GATxn.html,Audi,Audi Q8,503 800,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijh1cnRwazl4MHRnNTItT1RPTU9UT1BMIn0.vzPa6dBwU4tLMOKwQ6AXfSpPRMLQP_Hfa1z7V2Fv2Ec/image;s=644x461,1 km,Hybryda,Automatyczna,2024
https://www.otomoto.pl/osobowe/oferta/audi-q5-2-0tfsi-220km-4x4-automat-panorama-skora-leasing-rata-1054zl-netto-ID6Gz1F6.html,Audi,Audi Q5 2.0 TFSI Quattro Tiptronic,67 035,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImxnN3E4b2UwaHBkNS1PVE9NT1RPUEwifQ.BPamKzTvc1uSpRWrhzf43jumqL8aQiB8nNGgLW_Lp-U/image;s=320x240,261 000 km,Benzyna,Automatyczna,2017
https://www.otomoto.pl/osobowe/oferta/audi-q5-audi-q5-3-0-tdi-super-stan-2016-rok-tylko-90-tys-km-ID6GATwt.html,Audi,Audi Q5 3.0 TDI Quattro S tronic,99 500,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InprZ3J5dGVra3NnbDItT1RPTU9UT1BMIn0.9Hm8VjoZDjR_eApJdz8X4s5hsI5WrBXWYaBgK7w5iXE/image;s=320x240,90 000 km,Diesel,Automatyczna,2016
https://www.otomoto.pl/osobowe/oferta/audi-a3-audi-a3-1-6-tdi-salon-pl-bezwypadkowy-ID6GuDZ8.html,Audi,Audi A3 1.6 TDI DPF Ambition S tronic,32 000,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im5iOTMxZzFmNWNjLU9UT01PVE9QTCJ9.g5UWEDi-NHnleP776-0A-34Mdx6ZsRe0yctAm3h699Q/image;s=320x240,272 000 km,Diesel,Automatyczna,2011
https://www.otomoto.pl/osobowe/oferta/audi-a6-problem-z-ukladem-chlodzenia-ID6GATrr.html,Audi,Audi A6 2.0 TDI,9 500,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImVsaXYxeTk5MHAwcC1PVE9NT1RPUEwifQ.1CrpwIQ8zKM5C_vVnyhsWtkn9VUWf-YkfsfirNY7BWI/image;s=320x240,354 422 km,Diesel,Manualna,2007
https://www.otomoto.pl/osobowe/oferta/audi-a6-allroad-fv23-matrix-hak-dach-panoramiczny-ID6GATtp.html,Audi,Audi A6 Allroad,257 900,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjUxZnl4Z2gweDRoai1PVE9NT1RPUEwifQ.DdRmgljf6NDCIOHKBai7JT0960CrPPh5g8I78o9oOK8/image;s=644x461,28 819 km,Diesel,Automatyczna,2023
https://www.otomoto.pl/osobowe/oferta/audi-a7-audi-a7-3-0-diesel-319km-faktura-vat-23-ID6Gotmn.html,Audi,Audi A7,95 000,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inlha3ZwZzhtbnBkbS1PVE9NT1RPUEwifQ.Y03nRygQW2mLBGbgKBxtBEBBLxTCuWj8FnzS5Yg9sKk/image;s=320x240,240 600 km,Diesel,Automatyczna,2014
https://www.otomoto.pl/osobowe/oferta/audi-q7-bezwypadkowy-kupiony-w-salonie-w-polsce-ID6GBCsa.html,Audi,Audi Q7 3.0 TDI Quattro Tiptronic,37 000,"",239 500 km,Diesel,Automatyczna,2006
https://www.otomoto.pl/osobowe/oferta/audi-q5-sportback-pneumatyka-matrix-ambiente-b-o-webasto-salon-pl-ID6GvG6P.html,Audi,Audi Q5 Sportback SQ5 TDI mHEV Quattro Tiptronic,274 999,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IncwaWZ3MDAyNnB1bzEtT1RPTU9UT1BMIn0.qIBsoMhfksHlXkT9p8lKc7dYOdb7K5D-deSTXHiHUKU/image;s=644x461,79 556 km,Diesel,Automatyczna,2021
https://www.otomoto.pl/osobowe/oferta/audi-q7-bezwypadkowy-kupiony-w-salonie-w-polsce-ID6GBCsa.html,Audi,Audi Q7 3.0 TDI Quattro Tiptronic,37 000,"",239 500 km,Diesel,Automatyczna,2006
https://www.otomoto.pl/osobowe/oferta/audi-q5-sportback-pneumatyka-matrix-ambiente-b-o-webasto-salon-pl-ID6GvG6P.html,Audi,Audi Q5 Sportback SQ5 TDI mHEV Quattro Tiptronic,274 999,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IncwaWZ3MDAyNnB1bzEtT1RPTU9UT1BMIn0.qIBsoMhfksHlXkT9p8lKc7dYOdb7K5D-deSTXHiHUKU/image;s=644x461,79 556 km,Diesel,Automatyczna,2021
https://www.otomoto.pl/osobowe/oferta/audi-a6-2x-s-line-hd-matrix-led-hak-head-up-pakiet-czern-ID6GwZNL.html,Audi,Audi A6,249 999,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im0xYnJubm1teWVzOTEtT1RPTU9UT1BMIn0.ahaqFP22-9tfzesEMjdCi7bDcBJZ4umqq6bO0SLeZyA/image;s=644x461,16 870 km,Benzyna,Automatyczna,2023
https://www.otomoto.pl/osobowe/oferta/audi-q7-audi-q7-s-line-quattro-45-tdi-ID6GxXJ4.html,Audi,Audi Q7,279 900,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InRyY2RzbDF1ZHZ1MTEtT1RPTU9UT1BMIn0.mWnYcpvbVx9vcUAet6RxVf9V9wxvxS9bpSpaBKUJkYE/image;s=644x461,81 798 km,Diesel,Automatyczna,2021
https://www.otomoto.pl/osobowe/oferta/audi-a4-allroad-245-km-alcantara-kamera-nawigacja-gwarancja-ID6GgAGJ.html,Audi,Audi A4 Allroad,129 999,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InFjM3dxMDF1Z29saTMtT1RPTU9UT1BMIn0.zrqCgfR4GGWHjJLhiqi31yxDawAkmYzqzyCNE62sL8A/image;s=644x461,61 674 km,Benzyna,Automatyczna,2019
https://www.otomoto.pl/osobowe/oferta/audi-e-tron-2-lata-gwarancji-2-lat-pakiet-serwis-oferta-najmu-ponizej-3000-pln-ID6GvqUn.html,Audi,Audi e-tron 50 Quattro S Line,169 900,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inh6NnluNjlyZ2wxbDEtT1RPTU9UT1BMIn0.mS3phjykoWSdMTnQpCQtQLDhfkbt-cc_9Yuw4ZNVyZg/image;s=644x461,95 487 km,Elektryczny,Automatyczna,2020
https://www.otomoto.pl/osobowe/oferta/audi-q7-s-line-hak-head-up-matrix-webasto-panorama-b-o-ID6Gppql.html,Audi,Audi Q7,369 900,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InQ5cWc2bmJpc2psZDEtT1RPTU9UT1BMIn0.1_5nvM5bdSihkVLmrqvzEL30nq0F-nbpO3hi34WVRTo/image;s=644x461,24 084 km,Diesel,Automatyczna,2023
